CPU Model,Popularity,eBay Listing,Price
Intel i9,19,Intel Core Unlocked i9-13900KF - 24 Cores (8P+16E) & 32 Thread - New-Sealed,377.99
Intel i9,19,"Intel Core i9-9960X Processor ( 3.10GHz, 16 Cores, LGA 2066 ) - SREZ4 *Tested",230.0
Intel i9,19,Intel Core QTB0(i9-10900T) ES 1.5GHz 10C 35W support H410 B460 Z490 LGA1200,100.0
Intel i9,19,Intel Core I9-11900 ES QVYE 1.8 GHz 8 Core 16 Threads LGA1200 CPU Processor,97.0
Intel i9,19,Intel Core i9-10980XE CPU 3.0 GHz 18-Core LGA 2066 Game Desktop Processor SRGSG,399.99
Intel i9,19,Intel i9-7900X 10 Core /20Thread LGA2066 And Xeon W 2123 - Read Description,49.0
Intel i9,19,Intel Core X-series i9-7960X LGA-2066 CPU Processor X299 2.8GHz 16-Core 22MB,163.99
Intel i9,19,Intel Core i9 11900T ES Version QV1L 1.1GHz 8 Core 35W LGA1200 CPU Processor,120.0
Intel i9,19,Intel Core i9-9900X - 4.50 GHz Deca-Core (CD8067304126200) Processor,219.99
Intel i9,19,"Intel Core i9-9960x X-series Tray LGA 2066, 3.1 GHz-4.40GHz, 22MB CACHE 165W TDP",345.46
Intel i9,19,Intel Core i9-12900KF - 12th Gen Alder Lake 16-Core (8P+8E) 3.2GHz LGA CPU,284.99
Intel i9,19,Intel Core i9-13900 Processor Desktop Processor SRMB6 CPU,359.99
Intel i9,19,Intel Core I9-11900k 11th Generation Processor 3.5Ghz LGA1200,304.99
Intel i9,19,Delidded Intel Core i9-7980XE Processor 2.6 GHz 18-Core CPU (1227),184.99
Intel i9,19,Intel Core i9-13900kf + ASUS prime Z690 + 360mm NZXT AIO CPU Cooler COMBO,375.0
Intel i9,19,Intel Core i9-9900K + Asus ROG Maximus XI Hero WiFi + Corsair 32GB Dominator RAM,203.5
Intel i9,19,Intel Core i9-10980XE SRGSG 3.00GHz 24.75MB 18-Core LGA2066 CPU Processor!,399.99
Intel i9,19,Intel Core i9-14900K 3.2GHz 24-Cores LGA 1700 CPU Processor (BX8071514900K),280.0
Intel i9,19,ES Intel Core I9-11900K ES QV1K 3.40GHz 8 Cores 16MB LGA 1200 CPU Processor,149.99
Intel i9,19,Intel i9-13900KF Core i9 13th Gen Processor,359.99
Intel i9,19,"Intel Core i9-10900KF Processor (3.7 GHz, 10 Cores, Socket LGA1200)",150.0
Intel i9,19,Intel Core i9-7920X SR3NG 2.90GHz 16.5M 12-Core LGA2066 CPU *km,99.99
Intel i9,19,Intel Core i9-13900F CPU Processor SRMB7 CPU,309.99
Intel i9,19,"NEW LISTINGIntel Core i9-10850K Processor, 20MB Cache, 3.6GHz (5.2GHz Turbo Max), LGA1200",179.99
Intel i9,19,INTEL CORE i9-11900KF CPU LGA1200 8Croes 3.5GHz Processors Support ASUS ROG Z590,274.85
Intel i9,19,Intel i9-12900K Core Unlocked Processor 3.2GHz 30MB 16-Core LGA1700,269.95
Intel i9,19,INTEL CORE I9-10900 (10-CORE) SRH8Z 2.80GHz (5.20GHz W/ TURBO) LGA1200 #122543#,260.0
Intel i9,19,i9-9900K ES Intel Core i9-9900K ES QQBY 3.1Ghz 8 Core 16 Thread LGA1151 CPU,150.0
Intel i9,19,NEW Intel Core i9 10-Core 10900 5.20GHz i9-10900 SRH8Z LGA1200 CPU Processor,338.98
Intel i9,19,Intel Core i9-10940X 14C/28T 4.6GHZ Gaming II LGA 2066 For ASUS ROG Strix X299-E,385.0
AMD Ryzen 9,24,AMD Ryzen 9 9900X - Ryzen 9 9000 Series Granite Ridge (Zen 5) 12-Core 4.4 GHz -,389.99
AMD Ryzen 9,24,AMD Ryzen 9 9950X - Ryzen 9 9000 Series Granite Ridge (Zen 5) 16-Core 4.3 GHz -,572.49
AMD Ryzen 9,24,AMD Ryzen 9 5900X Desktop Processor with 12 CPU Cores and 24 Threads,271.99
AMD Ryzen 9,24,AMD Ryzen 9 5900X 4th Gen- 12 Core- 24-Threads- 4.8 GHz- BRAND NEW- FAST SHIP,209.95
AMD Ryzen 9,24,"AMD Ryzen 9 5900XT 16-Core, 32-Thread Unlocked Desktop Processor - NEW SEALED!",319.99
AMD Ryzen 9,24,NEW LISTINGAMD Ryzen 9 5900XT - Vermeer (Zen 3) 16-Core 3.3GHz AM4 CPU Processor,102.5
AMD Ryzen 9,24,AMD Ryzen 9 9950X 16-Core 32-Thread Desktop Processor - 16 Core And 32 Thread -,529.99
AMD Ryzen 9,24,AMD Ryzen 9 5950X 16-Cores 8MB Up to 4.9GHz Desktop Processor 100-100000059WOF,347.95
AMD Ryzen 9,24,"AMD Ryzen 9 5900X Desktop Processor (4.8GHz, 12 Cores, Socket AM4) Boxed",110.5
AMD Ryzen 9,24,"AMD Ryzen 9 5950X Processor 3.4 GHz, 16 Cores, Socket AM4 Tray version (1352)",300.0
AMD Ryzen 9,24,AMD Ryzen 9 3900x R9-3900X 3.8GHz 12Croe 24Thr 64MB Socket AM4 Support B450,169.0
AMD Ryzen 9,24,"AMD Ryzen 9 5900X, Used, Working",200.0
AMD Ryzen 9,24,AMD Ryzen 9 9900X - Ryzen 9 9000 Series Granite Ridge (Zen 5) 12-Core 4.4 GHz -,516.67
AMD Ryzen 9,24,AMD Ryzen 9 5900XT - Ryzen 9 5000 Series Vermeer (Zen 3) 16-Core 3.3 GHz Socket,442.65
AMD Ryzen 9,24,AMD Ryzen 9 7950X - Zen 4 16-Core 4.5 GHz - Socket AM5 - 170W Desktop Processor,651.82
AMD Ryzen 9,24,AMD Ryzen 9 9900X - Ryzen 9 9000 Series Granite Ridge (Zen 5) 12-Core 4.4 GHz -,389.0
AMD Ryzen 9,24,AMD Ryzen 9 3900XT 3.90GHz 12 Core 24 Thread AM4 Desktop CPU with Heatsink & Fan,149.99
AMD Ryzen 9,24,AMD Ryzen 9 5900X R9-5900X CPU 3.7GHz 12Core 105W Socket AM4 Support B450 A320,238.0
AMD Ryzen 9,24,NEW LISTINGAMD Ryzen 9 5950X 16-Core Processor 3.4GHz /4.9GHz Socket AM4 105W No Graphics,289.97
AMD Ryzen 9,24,AMD Ryzen 9 3950X R9 3950X 3.5GHz 16-Croe 32Thr 105W Socket AM4 CPU Processor,265.0
AMD Ryzen 9,24,AMD Ryzen 9 5950x Desktop Processor,299.95
AMD Ryzen 9,24,"AMD Ryzen 9 5950X Desktop Processor (4.9GHz, 16 Cores, Socket AM4)",319.0
AMD Ryzen 9,24,AMD Ryzen 9 5900X Desktop Processor 4.8GHz 12 Cores Socket AM4 100-100000061WOF,179.5
AMD Ryzen 9,24,AMD Ryzen 9 3900X Matisse 3.8GHz 12-Core AM4 Boxed CPU w/ Wraith Prism Cooler,299.95
AMD Ryzen 9,24,"AMD Ryzen 9 7900x Processor (5.6 GHz, 12 Cores, LGA 1718/Socket AM5) Box -...",230.0
AMD Ryzen 9,24,"AMD Ryzen 9 5900X Desktop Processor (4.8GHz, 12 Cores, Socket AM4) BRAND NEW",193.73
AMD Ryzen 9,24,"AMD Ryzen 9 3900X Processor (4.6GHz, 12 Cores, Socket AM4) CPU",76.0
AMD Ryzen 9,24,AMD Ryzen 9 7900X - 12-Core 4.7GHz AM5 170W CPU Desktop Processor,367.49
AMD Ryzen 9,24,AMD Ryzen 9 5950X - 5000 Series Vermeer (Zen 3) 16-Core 3.4GHz Socket AM4 105W,354.99
AMD Ryzen 9,24,"AMD Ryzen 9 5900X Desktop Processor (4.8GHz, 12 Cores, Socket AM4) Box -...",550.0
AMD Ryzen 9,24,AMD Ryzen 9 5900XT - Vermeer (Zen 3) 16-Core 3.3GHz AM4 CPU Processor,331.99
AMD Ryzen 9,24,9 5900XT 16-Core 32-Thread Unlocked Desktop Processor,512.99
AMD Ryzen 9,24,AMD Ryzen 9 7950X 16-core 32-thread Desktop Processor,549.0
AMD Ryzen 9,24,AMD Ryzen 9 7950X - Zen 4 16-Core 4.5 GHz Socket AM5 170W CPU Desktop Processor,400.0
AMD Ryzen 9,24,AMD Ryzen 9 5900X Desktop Processor AM4 CPU (SEALED - BRAND NEW),289.0
AMD Ryzen 9,24,AMD Ryzen 9 9950X 16-Core 32-Thread Desktop Processor - 16 Core And 32 Thread -,549.99
AMD Ryzen 9,24,"NEW LISTING**BROKEN** AMD Ryzen 9 5900X Desktop Processor (3.7GHz, 12 Cores, Socket AM4)",100.0
AMD Ryzen 9,24,AMD Ryzen 9 7900X - 12-Core 4.7GHz AM5 170W CPU Desktop Processor,328.0
AMD Ryzen 9,24,NEW LISTINGAMD Ryzen 9 9950X 16-Core 32-Thread Desktop Processor - 16 Core And 32 Thread -,556.99
AMD Ryzen 9,24,NEW LISTING**BROKEN** AMD Ryzen 9 5950X Desktop Processor 3.4GHz 16 Cores Socket AM4,125.0
AMD Ryzen 9,24,AMD Ryzen 9 7900X - 12-Core 4.7GHz AM5 170W CPU Desktop Processor,314.49
AMD Ryzen 9,24,"AMD Ryzen™ 9 7950X 16-Core, 32-Thread Desktop Processor",399.99
AMD Ryzen 9,24,"AMD Ryzen 9 5900X Desktop Processor (4.8GHz, 12 Cores, Socket AM4) Box -...",199.99
AMD Ryzen 9,24,AMD Ryzen 9 9900X - Ryzen 9 9000 Series Granite Ridge (Zen 5) 12-Core 4.4 GHz,350.0
AMD Ryzen 9,24,"AMD Ryzen 9 5950X Desktop Processor (4.9GHz, 16 Cores, Socket AM4) Box",314.49
AMD Ryzen 9,24,AMD Ryzen 9 9900X - Ryzen 9 9000 Series Granite Ridge (Zen 5) 12-Core 4.4 GHz -,393.99
AMD Ryzen 9,24,AMD Ryzen 9 3900X 12 Core 24 Thread CPU Processor 3.8Ghz 4.6GHz Damaged No POST,79.99
AMD Ryzen 9,24,NEW LISTINGAMD Ryzen 9 5950X 16-Core 3.4GHz Socket AM4 Processor (100-100000059WOF),299.0
AMD Ryzen 9,24,AMD Ryzen 9 3900X 3.8GHz 12-Core AM4 105W Desktop Processor 100-000000023,174.0
AMD Ryzen 9,24,AMD Ryzen 9 9900X 12 Core 24 Thread Desktop Processor 12 Core And 24 Thread,389.0
AMD Ryzen 9,24,AMD Ryzen 9 5900X 12-core 24-thread Desktop Processor - 12 cores And 24 threads,299.99
AMD Ryzen 9,24,AMD RYZEN 9 7900X3D - FS,265.0
AMD Ryzen 9,24,"NEW LISTINGUsed AMD Ryzen 9 3900X Processor (3.8 GHz, 12-Cores, Socket AM4)",159.0
AMD Ryzen 9,24,"AMD Ryzen 9 3900XT Processor (4.7 GHz, 12 Cores, Socket AM4)",189.49
AMD Ryzen 9,24,"AMD Ryzen 9 5950X Desktop Processor (4.9GHz, 16 Cores, Socket AM4)",320.0
AMD Ryzen 9,24,AMD Ryzen 9 7950X 16-core 32-thread Desktop Processor,549.0
AMD Ryzen 9,24,"[COMBO] AMD Ryzen 9 5900X, Noctua L9a BLK, Strix X570-I, HyperX Fury 32 3200CL16",379.99
AMD Ryzen 9,24,AMD Ryzen 9 5950X 3.40GHz 16-Cores 64MB 105W Socket AM4 R9 5950X-CPU Processor,345.0
AMD Ryzen 9,24,"NEW AMD Ryzen 9 7950X3D Processor (5.7 GHz, 16 Cores, Socket AM5)",587.99
Intel i7,59,Intel i7-2600 SR00B 3.40GHZ Processor,29.99
Intel i7,59,Intel Extreme i7 3940XM SR0US 3.0-3.9GHz / 8MB Socket G2 Notebook Processor,90.9
Intel i7,59,Intel Core I7 12700 ES QXQ4 8+4 12 Cores 20 Threads LGA 1700 CPU Processor,100.0
Intel i7,59,Intel Core i7-14700K Unlocked Desktop Processor - Up to 5.6 GHz max clock speed,364.99
Intel i7,59,Intel Core i7-11700 @2.50GHz Desktop Chip CPU Processor,72.0
Intel i7,59,Intel Core i7-12700KF Unlocked Desktop Processor - 12 Cores And 20 Threads,219.99
Intel i7,59,Intel Core I7-7700K 4.20GHz Quad-Core Desktop CPU Processor LGA1151 SR33A,79.99
Intel i7,59,Intel 4th Gen Core i7-4790 SR1QF 3.60GHz (Turbo 4.00GHz) 8M 4-Core LGA-1150 CPU,36.99
Intel i7,59,Intel Core i7-870 Quad Core 2.93GHz 8MB Socket LGA1156 95W SLBJG 95W Processor,19.99
Intel i7,59,Intel Core i7-7700 - 3.60GHz Quad Core CPU Processor,55.99
Intel i7,59,Intel Core i7-14700KF Unlocked Desktop Processor,367.84
Intel i7,59,Intel Core i7-12700 GHz Desktop Chip CPU Processor,61.0
Intel i7,59,"Intel Core i7-12700KF Processor (5 GHz, 12 Cores, FCLGA1700) Box -...",190.0
Intel i7,59,Intel Core i7-4712MQ SR1PS 2.3GHz / Quad Core / 6M FCPGA946 Notebook Processor,49.9
Intel i7,59,Intel Core i7-4790 3.60GHz Quad Core CPU Processor SR1QF,34.99
Intel i7,59,Intel Core i7-7820X SR3L5 @3.60GHz 8-Core Socket LGA2066 CPU,52.99
Intel i7,59,NEW LISTINGIntel SRG13 Core i7-9700 3.0 GHz Desktop CPU,110.0
Intel i7,59,Intel Core i7-14700F DESKTOP processor TURBO Boost 5.40Ghz SRN3Z CM8071504820816,259.0
Intel i7,59,Intel Core i7-12700KF Unlocked Desktop Processor + GIGABYTE Ultra Durable Z790 S,304.99
Intel i7,59,Intel Core i7-12700KF - Alder Lake 12-Core (8P+4E) 3.6GHz LGA 1700 125W CPU,186.99
Intel i7,59,Intel Core i7-7700T CPU SR339 2.90GHz,52.99
Intel i7,59,Intel 3rd Gen Core i7-3770 SR0PK 3.40GHz (Turbo 3.90GHz) 4-Core 8M LGA-1155 CPU,36.99
Intel i7,59,INTEL CORE i7-7700K 4.20GHz CPU QUAD CORE Processor SR33A *km,83.99
Intel i7,59,Intel Core i7-3820 3.6GHz Quad-Core Socket LGA2011 CPU Processor SR0LD *km,8.99
Intel i7,59,NEW LISTINGIntel Core i7-7700K | 4.20GHz | SR33A,85.0
Intel i7,59,Intel Core i7-620M 2.66GHz 4M Dual Core Processor SLBPD CPU Socket G1 For Laptop,11.0
Intel i7,59,NEW LISTINGIntel i7-4770 3.4GHz LGA 1150 Desktop CPU Processor SR149,29.95
Intel i7,59,Intel Core i7-870 Quad Core 2.93GHz 8MB Socket LGA1156 95W SLBJG 95W Processor,15.66
Intel i7,59,Intel Core i7-940XM (SLBSC) 2.13GHz/Quad Core/ 8M PGA 988 Notebook Processor,62.99
Intel i7,59,Intel Core i7-12700F - Core i7 12th Gen Alder Lake 12-Core (8P+4E) 2.1 GHz LGA,328.99
Intel i7,59,"NEW Intel Core i7-12700K - 5.00GHz Turbo, 12 (8P+4E) Core / 20 Thread, LGA 1700",214.95
Intel i7,59,Intel i7-12700T 12-Core 1.40GHz 12MB/25MB Socket 1700 Alder Lake-S CPU✅SRL4S,214.95
Intel i7,59,Intel Core I7-4790K SR219 4.0 Ghz Quad Core LGA 1150 CPU Processor *km,64.99
Intel i7,59,Intel Core i7-5960X Extreme Edition 3 GHz 8-Core SR20Q CM8064801547964,39.75
Intel i7,59,Intel CM8065802483301 SR2AG Core i7-5775C Processor 6M Cache NEW TRAY,99.0
Intel i7,59,Intel Core i7-4790 3.60GHz Quad-Core 8MB LGA 1150/Socket H3 CPU SR1QF,36.89
Intel i7,59,Intel Core i7-7700K 4-core 91W 4.5GHz LGA 1151 CPU processor,109.0
Intel i7,59,Intel Core i7-4910MQ SR1PT 2.9GHz / Quad Core / 8M FCPGA946 Notebook CPU,59.9
Intel i7,59,Intel Core I7-12700 12-Core 4.80GHz Processor CPU SRL4Q,224.99
Intel i7,59,Intel Core i7-5775C SRZAG 3.3GHz graphics 6200 LGA1150 CPU processor,83.5
Intel i7,59,Intel Core i7-980X LGA1366 SLBUZ 3.33GHz 6core 12M CPU processor,36.5
Intel i7,59,NEW LISTINGIntel Core i7-6700K 4.00 GHz LGA 1151 Quad-Core Processor (CM8066201919901),50.0
Intel i7,59,NEW LISTINGIntel Core i7-7700 @ 3.60GHz | LGA 1151 Quad-Core Processor | SR338,65.0
Intel i7,59,NEW LISTINGIntel Core i7-2600 3.40GHz 4-Core 8MB LGA 1155 Desktop CPU Processor (SR00B),23.95
Intel i7,59,Intel core i7-990X SLBVZ 3.46GHz 6 Core Extreme Edition AT80613005931AA,79.5
Intel i7,59,Intel CPU i7-4770 3.40GHz Processor SR149 #2 Works!,20.5
Intel i7,59,NEW LISTINGIntel Core i7-4770 3.40GHz 4-Core 8MB LGA 1150 Desktop CPU Processor (SR149),29.9
Intel i7,59,NEW LISTINGintel Core i7-4790S 3.2 GHz SR1QM Processor,26.0
Intel i7,59,NEW - Intel Core i7-13700K Processor (LGA 1700) Box - BX8071513700K,277.5
Intel i7,59,Sale! Intel Core i7 3632QM SR0V0 2.2GHz Quad-Core 6M PGA 988 Notebook processor,31.31
Intel i7,59,"NEW LISTINGIntel Core i7-6700 Processor (3.40 GHz, 4 Cores, LGA 1151) - SR2L2",40.95
Intel i7,59,Intel 7th Gen i7-7700T SR339 2.90GHz (Turbo 3.80GHz) 4-Core 8M LGA1151 TESTED!,52.97
Intel i7,59,Intel 7th Gen Core i7-7700 SR338 3.60GHz (Turbo 4.20GHz) 4-Core LGA-1151 PC CPU,69.99
Intel i7,59,Intel Core i7-14700F DESKTOP processor TURBO Boost 5.40Ghz SRN3Z CM8071504820816,255.0
Intel i7,59,NEW LISTINGintel i7 14700,225.0
Intel i7,59,Intel 3rd Gen Core i7-3770 SR0PK 3.40GHz (Turbo 3.90GHz) 4-Core 8M LGA-1155 CPU,37.7
Intel i7,59,Intel Core i7-8700 SR3QS 3.20GHz Turbo to 4.60GHz CPU,89.95
Intel i7,59,INTEL CORE I7-9700 PROCESSOR 3.00GHZ SRG13,119.99
Intel i7,59,Intel Core i7-2960XM (SR02F) 2.7GHz / 8M / 1600MHz Socket G2 Notebook Processor,67.0
AMD Ryzen 7,63,AMD Ryzen 7 5700 - Ryzen 7 5000 Series 8-Core 3.7 GHz Socket AM4 65W None Integr,129.99
AMD Ryzen 7,63,AMD Ryzen 7 5700X3D 8-Core 16-Thread AM4 105W CPU Processor 100-100001503WOF,274.99
AMD Ryzen 7,63,AMD Ryzen 7 9700X - Ryzen 7 9000 Series Granite Ridge (Zen 5) 8-Core 3.8 GHz - S,319.49
AMD Ryzen 7,63,"AMD Ryzen 7 7700 Processor CPU (Up to 5.3 GHz 8 Cores, LGA 1718/Socket AM5)",199.97
AMD Ryzen 7,63,AMD Ryzen 7 5700X R7-5700X 8-Core 16Thr 3.4GHz 65W Socket AM4 Support B450 A320,125.0
AMD Ryzen 7,63,AMD Ryzen 7 5700X3D 8-Core 16-Thread 4.1GHz Socket AM4 CPU,259.99
AMD Ryzen 7,63,AMD Ryzen 7 5700X3D 3.0GHz 8 Core CPU 105W Socket AM4 Support B450 B350 X370,230.0
AMD Ryzen 7,63,AMD Ryzen 7 5700X 8-Core 3.4GHz Socket AM4 65W CPU Desktop Processor,60.0
AMD Ryzen 7,63,"*BENT PINS* AMD Ryzen 7 5800X Processor (4.7GHz, 8 Cores, Socket AM4) Box",89.99
AMD Ryzen 7,63,AMD Ryzen 7 5800X Processor (4.7GHz 8 Cores Socket AM4) Box - 100-100000063WOF,174.95
AMD Ryzen 7,63,AMD Ryzen 7 5700X3D 8-Core 16-Thread 4.1GHz Socket AM4 Desktop Gaming CPU,255.0
AMD Ryzen 7,63,AMD Ryzen 7 5700G Desktop Processor 8-Core 16-Thread with Radeon Graphics,169.99
AMD Ryzen 7,63,AMD Ryzen 7 7800X3D - Ryzen 7 7000 Series 8-Core Socket AM5 120W CPU Processor,457.99
AMD Ryzen 7,63,AMD Ryzen 5 5500 6-Core 3.6GHz Socket AM4 65W CPU Desktop Processor,84.99
AMD Ryzen 7,63,AMD Ryzen 7 5800X3D 8-core 16-thread 3.4-4.5Ghz 3-level cache 96MB CPU processor,358.0
AMD Ryzen 7,63,"AMD Ryzen 7 3700X (3.6GHz, 8 Cores/16T, Socket AM4) with Wraith Cooler",72.0
AMD Ryzen 7,63,AMD Ryzen 7 5800X3D R7 5800X3D 3.4GHz 8Core 105W Socket AM4 Support B450 A320,350.0
AMD Ryzen 7,63,AMD RYZEN 7 9800X3D 8-Core 16-Thread Desktop Processor AM5 4.70GHz IN-HAND,537.99
AMD Ryzen 7,63,"AMD Ryzen 7 3800X Processor (3.9GHz, 8 Cores, Socket AM4) w/ Wraith Cooler",81.0
AMD Ryzen 7,63,AMD Ryzen 7 1800X AM4 R7 1800x 8-core 3.6GHz (4.0GHz Turbo) 95W CPU processor,55.8
AMD Ryzen 7,63,AMD Ryzen 7 2700 8-core 16-thread socket AM4 3.2GHz 65W R7 2700 CPU processor,62.0
AMD Ryzen 7,63,AMD Ryzen 7 5700X3D 3.0 GHz 8-core AM4 96MB cache CPU processor,225.0
AMD Ryzen 7,63,AMD Ryzen 7 5700X 3.4GHz 8-core 16-thread socket AM4 32MB 65W CPU processor,125.0
AMD Ryzen 7,63,AMD Ryzen 7 1800X 3.6GHz 14 nm 8-core socket AM4 R7 1800X CPU processor,55.8
AMD Ryzen 7,63,AMD Ryzen 7 5700X Desktop CPU Socket AM4 3.4 GHz 8-Core 16 Thread,99.0
AMD Ryzen 7,63,NEW AMD Ryzen 7 7800X3D 8-Core 16 Thread 4.2 GHz (5.0 GHz Max Boost) Socket AM5,419.99
AMD Ryzen 7,63,NEW LISTINGAMD Ryzen 7 9800x3D AM5 Gaming CPU Processor 8-core,390.0
AMD Ryzen 7,63,"AMD Ryzen 7 5800X 8-core, 16-Thread Unlocked Desktop Processor - READ",68.51
AMD Ryzen 7,63,AMD ryzen 7 1700x cpu NEW,165.0
AMD Ryzen 7,63,NEW LISTINGAMD Ryzen 7 5700G Desktop Processor 8-Core 16-Thread with Radeon Graphics,134.99
AMD Ryzen 7,63,AMD Ryzen 7 5700 - Ryzen 7 5000 Series 8-Core 3.7 GHz Socket AM4 65W None,222.5
AMD Ryzen 7,63,Ryzen 7 5700 8-Core 16-Thread with Radeon Graphics for High-Performance Gaming &,161.98
AMD Ryzen 7,63,AMD Ryzen 7 5800X 8-core 16-thread Desktop Processor,235.99
AMD Ryzen 7,63,AMD Ryzen 7 2700X R7-2700X 3.7GHz 8-core 16-thread 16-meter socket AM4 CPU,62.0
AMD Ryzen 7,63,AMD Ryzen 7 4700G 3.6-4.4GHz 8-core 16Thr socket AM4 65W CPU processor R7-4700G,135.0
AMD Ryzen 7,63,"NEW LISTINGAMD Ryzen 7 5700X3D 8-Core, 16-Thread AM4 105W CPU Processor 100-100001503WOF",172.5
AMD Ryzen 7,63,"NEW LISTINGAMD Ryzen 7 8700G, 8-Core 16-Threads CPU, Socket AM5 65W, Radeon 780M iGPU",215.0
AMD Ryzen 7,63,AMD Ryzen 7 5700G - 8-Core 3.8GHz Cezanne (Zen 3) CPU Desktop Processor AM4 65W,173.49
AMD Ryzen 7,63,"Ryzen 7 5700 8-Core, 16-Thread Desktop Processor",290.21
AMD Ryzen 7,63,AMD Ryzen 7 3700X AM4 R7 3700X 3.6GHz octa-core 16T 32MB desktop CPU processor,83.0
AMD Ryzen 7,63,AMD Ryzen 7 2700 3.2 GHz 8-Core 16-Thread 16M Socket AM4 CPU Processor R7-2700,62.0
AMD Ryzen 7,63,AMD Ryzen 7 3700X Desktop Processor R7 Socket AM4 CPU Eight-Core Good Work,84.5
AMD Ryzen 7,63,AMD Ryzen 7 3700X R7 3700X 3.6GHz 8Core TDP 65W Socket AM4 Support B450 A320,83.55
AMD Ryzen 7,63,"NEW LISTINGAMD Ryzen 7 9700X 8-Core 16-Thread, 5.5GHz Boost, AMD Socket AM5",289.0
AMD Ryzen 7,63,AMD Ryzen 7 7700X 8-Core 4.5GHz Socket AM5 105W Desktop Processor CPU,259.99
AMD Ryzen 7,63,"AMD Ryzen 7 3700X (3.6GHz, 8 Cores, Socket AM4) - 100-100000071 Open box",94.99
AMD Ryzen 7,63,AMD Ryzen 7 5800X 3.8GHz 8Core TDP 105W Socket AM4 Support B450 B350 X370 A320,148.0
AMD Ryzen 7,63,AMD Ryzen 7 5800XT 8-Core 16-Thread 3.8 GHz Vermeer Zen 3 AM4 CPU Processor,164.98
AMD Ryzen 7,63,AMD Ryzen 7 8700G - Ryzen 7 8000-G Series 8-Core 4.2 GHz Socket AM5 65W AMD Rade,260.49
AMD Ryzen 7,63,AMD Ryzen 7 3800X R7-3800X 3.9GHz 8-Core 16Thr 105W Socket AM4 Support B550 B450,92.0
