TransactionID,PurchasedParts,Source,PC Part
36.0,"['AMD Ryzen 7', 'AMD RX 6700 XT', 'Kingston 32GB', 'WD HDD 2TB', 'ASUS B550', 'Corsair 650W']",,
37.0,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'Corsair 16GB', 'Crucial SSD 500GB', 'MSI X570', 'Cooler Master 850W']",,
38.0,"['Intel i5', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'Cooler Master 850W']",,
39.0,"['Intel i7', 'NVIDIA RTX 3060', 'Kingston 32GB', 'Samsung SSD 1TB', 'ASUS B550', 'EVGA 750W']",,
40.0,"['Intel i7', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Crucial SSD 500GB', 'MSI X570', 'Cooler Master 850W']",,
41.0,"['Intel i5', 'NVIDIA RTX 3060', 'Kingston 32GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'Cooler Master 850W']",,
42.0,"['AMD Ryzen 5', 'NVIDIA RTX 3060', 'Kingston 32GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'EVGA 750W']",,
43.0,"['AMD Ryzen 7', 'NVIDIA RTX 3060', 'Corsair 16GB', 'Crucial SSD 500GB', 'ASUS B550', 'EVGA 750W']",,
44.0,"['Intel i7', 'AMD RX 6700 XT', 'G.Skill 16GB', 'WD HDD 2TB', 'Gigabyte B450', 'Corsair 650W']",,
45.0,"['Intel i5', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'WD HDD 2TB', 'MSI X570', 'Corsair 650W']",,
46.0,"['Intel i5', 'NVIDIA RTX 3070', 'Kingston 32GB', 'WD HDD 2TB', 'MSI X570', 'Corsair 650W']",,
47.0,"['AMD Ryzen 7', 'NVIDIA RTX 3060', 'Corsair 16GB', 'Samsung SSD 1TB', 'MSI X570', 'EVGA 750W']",,
48.0,"['Intel i7', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'Corsair 650W']",,
49.0,"['Intel i7', 'NVIDIA RTX 3060', 'G.Skill 16GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'Cooler Master 850W']",,
50.0,"['Intel i5', 'AMD RX 6700 XT', 'Kingston 32GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'Cooler Master 850W']",,
51.0,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'Kingston 32GB', 'Crucial SSD 500GB', 'ASUS B550', 'Corsair 650W']",,
52.0,"['Intel i7', 'AMD RX 6700 XT', 'Corsair 16GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'Corsair 650W']",,
53.0,"['Intel i5', 'NVIDIA RTX 3070', 'Kingston 32GB', 'Samsung SSD 1TB', 'ASUS B550', 'Corsair 650W']",,
54.0,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'Corsair 16GB', 'WD HDD 2TB', 'ASUS B550', 'Corsair 650W']",,
55.0,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'G.Skill 16GB', 'WD HDD 2TB', 'ASUS B550', 'Cooler Master 850W']",,
56.0,"['AMD Ryzen 5', 'NVIDIA RTX 3060', 'Corsair 16GB', 'Crucial SSD 500GB', 'ASUS B550', 'Corsair 650W']",,
57.0,"['Intel i5', 'AMD RX 6700 XT', 'Corsair 16GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'Cooler Master 850W']",,
58.0,"['Intel i7', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Samsung SSD 1TB', 'MSI X570', 'Corsair 650W']",,
59.0,"['Intel i7', 'AMD RX 6700 XT', 'Corsair 16GB', 'Crucial SSD 500GB', 'MSI X570', 'Corsair 650W']",,
60.0,"['Intel i7', 'AMD RX 6700 XT', 'Corsair 16GB', 'Samsung SSD 1TB', 'ASUS B550', 'Corsair 650W']",,
61.0,"['Intel i5', 'NVIDIA RTX 3060', 'Corsair 16GB', 'WD HDD 2TB', 'ASUS B550', 'EVGA 750W']",,
62.0,"['AMD Ryzen 7', 'NVIDIA RTX 3060', 'Corsair 16GB', 'Crucial SSD 500GB', 'MSI X570', 'EVGA 750W']",,
63.0,"['Intel i7', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Samsung SSD 1TB', 'MSI X570', 'EVGA 750W']",,
64.0,"['AMD Ryzen 7', 'NVIDIA RTX 3060', 'Corsair 16GB', 'WD HDD 2TB', 'ASUS B550', 'Cooler Master 850W']",,
65.0,"['Intel i5', 'NVIDIA RTX 3060', 'Corsair 16GB', 'Samsung SSD 1TB', 'ASUS B550', 'Cooler Master 850W']",,
66.0,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'Corsair 16GB', 'WD HDD 2TB', 'MSI X570', 'Cooler Master 850W']",,
67.0,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'Cooler Master 850W']",,
68.0,"['Intel i7', 'AMD RX 6700 XT', 'Corsair 16GB', 'WD HDD 2TB', 'ASUS B550', 'Corsair 650W']",,
69.0,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'WD HDD 2TB', 'MSI X570', 'Cooler Master 850W']",,
70.0,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'Kingston 32GB', 'Samsung SSD 1TB', 'ASUS B550', 'Cooler Master 850W']",,
71.0,"['Intel i7', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'Cooler Master 850W']",,
72.0,"['Intel i5', 'NVIDIA RTX 3060', 'Corsair 16GB', 'WD HDD 2TB', 'MSI X570', 'Cooler Master 850W']",,
73.0,"['Intel i7', 'NVIDIA RTX 3070', 'Corsair 16GB', 'WD HDD 2TB', 'MSI X570', 'Corsair 650W']",,
74.0,"['Intel i7', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Samsung SSD 1TB', 'MSI X570', 'EVGA 750W']",,
75.0,"['Intel i5', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'Corsair 650W']",,
76.0,"['Intel i7', 'NVIDIA RTX 3060', 'Corsair 16GB', 'WD HDD 2TB', 'MSI X570', 'EVGA 750W']",,
77.0,"['AMD Ryzen 5', 'NVIDIA RTX 3060', 'Kingston 32GB', 'WD HDD 2TB', 'ASUS B550', 'Corsair 650W']",,
78.0,"['Intel i5', 'AMD RX 6700 XT', 'Kingston 32GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'EVGA 750W']",,
79.0,"['Intel i7', 'AMD RX 6700 XT', 'Corsair 16GB', 'WD HDD 2TB', 'Gigabyte B450', 'Cooler Master 850W']",,
80.0,"['AMD Ryzen 5', 'NVIDIA RTX 3060', 'Corsair 16GB', 'Crucial SSD 500GB', 'ASUS B550', 'Cooler Master 850W']",,
81.0,"['Intel i5', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'Corsair 650W']",,
82.0,"['Intel i5', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Crucial SSD 500GB', 'ASUS B550', 'Corsair 650W']",,
83.0,"['Intel i7', 'NVIDIA RTX 3060', 'Corsair 16GB', 'WD HDD 2TB', 'ASUS B550', 'Corsair 650W']",,
84.0,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'Corsair 650W']",,
85.0,"['Intel i5', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Samsung SSD 1TB', 'MSI X570', 'Corsair 650W']",,
86.0,"['Intel i5', 'NVIDIA RTX 3060', 'Kingston 32GB', 'WD HDD 2TB', 'MSI X570', 'EVGA 750W']",,
87.0,"['AMD Ryzen 5', 'NVIDIA RTX 3070', 'Kingston 32GB', 'Samsung SSD 1TB', 'ASUS B550', 'Corsair 650W']",,
88.0,"['AMD Ryzen 5', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'Crucial SSD 500GB', 'ASUS B550', 'Corsair 650W']",,
89.0,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'Corsair 16GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'EVGA 750W']",,
90.0,"['Intel i5', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Samsung SSD 1TB', 'ASUS B550', 'Corsair 650W']",,
91.0,"['AMD Ryzen 5', 'NVIDIA RTX 3060', 'Corsair 16GB', 'Samsung SSD 1TB', 'MSI X570', 'Corsair 650W']",,
92.0,"['Intel i5', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'Cooler Master 850W']",,
93.0,"['AMD Ryzen 7', 'AMD RX 6700 XT', 'Corsair 16GB', 'Crucial SSD 500GB', 'ASUS B550', 'Cooler Master 850W']",,
94.0,"['AMD Ryzen 7', 'AMD RX 6700 XT', 'Kingston 32GB', 'Samsung SSD 1TB', 'MSI X570', 'EVGA 750W']",,
95.0,"['Intel i7', 'AMD RX 6700 XT', 'Corsair 16GB', 'Crucial SSD 500GB', 'MSI X570', 'Cooler Master 850W']",,
96.0,"['Intel i7', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'Crucial SSD 500GB', 'ASUS B550', 'Cooler Master 850W']",,
97.0,"['AMD Ryzen 7', 'NVIDIA RTX 3060', 'Kingston 32GB', 'WD HDD 2TB', 'ASUS B550', 'EVGA 750W']",,
98.0,"['Intel i5', 'AMD RX 6700 XT', 'Kingston 32GB', 'Samsung SSD 1TB', 'ASUS B550', 'Corsair 650W']",,
99.0,"['Intel i7', 'NVIDIA RTX 3070', 'Kingston 32GB', 'Samsung SSD 1TB', 'ASUS B550', 'Cooler Master 850W']",,
100.0,"['Intel i5', 'NVIDIA RTX 3060', 'Corsair 16GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'EVGA 750W']",,
101.0,"['Intel i7', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Samsung SSD 1TB', 'ASUS B550', 'Corsair 650W']",,
102.0,"['AMD Ryzen 7', 'NVIDIA RTX 3060', 'Kingston 32GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'Cooler Master 850W']",,
103.0,"['Intel i5', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Crucial SSD 500GB', 'ASUS B550', 'Cooler Master 850W']",,
104.0,"['AMD Ryzen 7', 'AMD RX 6700 XT', 'Corsair 16GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'EVGA 750W']",,
105.0,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'G.Skill 16GB', 'WD HDD 2TB', 'ASUS B550', 'EVGA 750W']",,
106.0,"['Intel i5', 'NVIDIA RTX 3060', 'Kingston 32GB', 'Samsung SSD 1TB', 'MSI X570', 'Cooler Master 850W']",,
107.0,"['AMD Ryzen 5', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Samsung SSD 1TB', 'MSI X570', 'Cooler Master 850W']",,
108.0,"['Intel i5', 'NVIDIA RTX 3060', 'Corsair 16GB', 'Crucial SSD 500GB', 'ASUS B550', 'Cooler Master 850W']",,
109.0,"['Intel i5', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'WD HDD 2TB', 'ASUS B550', 'Cooler Master 850W']",,
110.0,"['Intel i7', 'AMD RX 6700 XT', 'G.Skill 16GB', 'WD HDD 2TB', 'MSI X570', 'Cooler Master 850W']",,
111.0,"['Intel i5', 'NVIDIA RTX 3060', 'Corsair 16GB', 'WD HDD 2TB', 'MSI X570', 'Cooler Master 850W']",,
112.0,"['Intel i5', 'AMD RX 6700 XT', 'Corsair 16GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'EVGA 750W']",,
113.0,"['Intel i7', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'EVGA 750W']",,
114.0,"['Intel i5', 'NVIDIA RTX 3060', 'Corsair 16GB', 'Crucial SSD 500GB', 'ASUS B550', 'Cooler Master 850W']",,
115.0,"['AMD Ryzen 5', 'NVIDIA RTX 3070', 'Kingston 32GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'Corsair 650W']",,
116.0,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Samsung SSD 1TB', 'ASUS B550', 'Corsair 650W']",,
117.0,"['Intel i7', 'NVIDIA RTX 3060', 'Kingston 32GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'Corsair 650W']",,
118.0,"['Intel i5', 'AMD RX 6700 XT', 'Kingston 32GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'Corsair 650W']",,
119.0,"['AMD Ryzen 7', 'NVIDIA RTX 3060', 'Corsair 16GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'Cooler Master 850W']",,
120.0,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'Corsair 16GB', 'Crucial SSD 500GB', 'ASUS B550', 'Cooler Master 850W']",,
121.0,"['AMD Ryzen 5', 'NVIDIA RTX 3060', 'G.Skill 16GB', 'Samsung SSD 1TB', 'ASUS B550', 'EVGA 750W']",,
122.0,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'WD HDD 2TB', 'Gigabyte B450', 'EVGA 750W']",,
123.0,"['Intel i5', 'NVIDIA RTX 3070', 'Corsair 16GB', 'WD HDD 2TB', 'Gigabyte B450', 'Corsair 650W']",,
124.0,"['Intel i5', 'NVIDIA RTX 3060', 'G.Skill 16GB', 'Crucial SSD 500GB', 'ASUS B550', 'Cooler Master 850W']",,
125.0,"['Intel i7', 'NVIDIA RTX 3060', 'G.Skill 16GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'Cooler Master 850W']",,
126.0,"['AMD Ryzen 7', 'AMD RX 6700 XT', 'Corsair 16GB', 'WD HDD 2TB', 'MSI X570', 'Cooler Master 850W']",,
127.0,"['Intel i5', 'NVIDIA RTX 3070', 'Corsair 16GB', 'WD HDD 2TB', 'ASUS B550', 'EVGA 750W']",,
128.0,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'Kingston 32GB', 'Crucial SSD 500GB', 'MSI X570', 'Cooler Master 850W']",,
129.0,"['AMD Ryzen 7', 'NVIDIA RTX 3060', 'Kingston 32GB', 'WD HDD 2TB', 'MSI X570', 'EVGA 750W']",,
130.0,"['Intel i5', 'NVIDIA RTX 3070', 'Kingston 32GB', 'Samsung SSD 1TB', 'ASUS B550', 'EVGA 750W']",,
131.0,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'Corsair 650W']",,
132.0,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'Corsair 16GB', 'WD HDD 2TB', 'Gigabyte B450', 'Corsair 650W']",,
133.0,"['AMD Ryzen 7', 'AMD RX 6700 XT', 'G.Skill 16GB', 'WD HDD 2TB', 'Gigabyte B450', 'Cooler Master 850W']",,
134.0,"['Intel i5', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'EVGA 750W']",,
135.0,"['Intel i5', 'AMD RX 6700 XT', 'Corsair 16GB', 'WD HDD 2TB', 'Gigabyte B450', 'EVGA 750W']",,
136.0,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'Corsair 16GB', 'WD HDD 2TB', 'MSI X570', 'Cooler Master 850W']",,
137.0,"['Intel i7', 'AMD RX 6700 XT', 'G.Skill 16GB', 'WD HDD 2TB', 'ASUS B550', 'Cooler Master 850W']",,
138.0,"['Intel i5', 'NVIDIA RTX 3070', 'Kingston 32GB', 'Crucial SSD 500GB', 'MSI X570', 'Corsair 650W']",,
139.0,"['Intel i5', 'AMD RX 6700 XT', 'Kingston 32GB', 'Crucial SSD 500GB', 'ASUS B550', 'Corsair 650W']",,
140.0,"['Intel i5', 'AMD RX 6700 XT', 'G.Skill 16GB', 'WD HDD 2TB', 'Gigabyte B450', 'Cooler Master 850W']",,
141.0,"['AMD Ryzen 7', 'NVIDIA RTX 3060', 'Corsair 16GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'EVGA 750W']",,
142.0,"['Intel i5', 'NVIDIA RTX 3070', 'Kingston 32GB', 'Samsung SSD 1TB', 'ASUS B550', 'Corsair 650W']",,
143.0,"['Intel i7', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'EVGA 750W']",,
144.0,"['Intel i5', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'Crucial SSD 500GB', 'MSI X570', 'Corsair 650W']",,
145.0,"['AMD Ryzen 7', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Samsung SSD 1TB', 'MSI X570', 'Cooler Master 850W']",,
146.0,"['AMD Ryzen 5', 'NVIDIA RTX 3060', 'Corsair 16GB', 'WD HDD 2TB', 'MSI X570', 'EVGA 750W']",,
147.0,"['Intel i7', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'Corsair 650W']",,
148.0,"['Intel i7', 'NVIDIA RTX 3060', 'Kingston 32GB', 'WD HDD 2TB', 'ASUS B550', 'Cooler Master 850W']",,
149.0,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'WD HDD 2TB', 'MSI X570', 'EVGA 750W']",,
150.0,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'Corsair 16GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'Cooler Master 850W']",,
151.0,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'Kingston 32GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'EVGA 750W']",,
152.0,"['Intel i7', 'NVIDIA RTX 3060', 'G.Skill 16GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'Cooler Master 850W']",,
153.0,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Samsung SSD 1TB', 'ASUS B550', 'Cooler Master 850W']",,
154.0,"['Intel i7', 'AMD RX 6700 XT', 'Corsair 16GB', 'WD HDD 2TB', 'MSI X570', 'Corsair 650W']",,
155.0,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Crucial SSD 500GB', 'MSI X570', 'EVGA 750W']",,
156.0,"['Intel i5', 'NVIDIA RTX 3070', 'Kingston 32GB', 'WD HDD 2TB', 'MSI X570', 'EVGA 750W']",,
157.0,"['AMD Ryzen 5', 'NVIDIA RTX 3060', 'Corsair 16GB', 'Crucial SSD 500GB', 'MSI X570', 'Corsair 650W']",,
158.0,"['AMD Ryzen 7', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Samsung SSD 1TB', 'ASUS B550', 'EVGA 750W']",,
159.0,"['Intel i7', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'WD HDD 2TB', 'MSI X570', 'Corsair 650W']",,
160.0,"['AMD Ryzen 5', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'Corsair 650W']",,
161.0,"['Intel i5', 'AMD RX 6700 XT', 'Kingston 32GB', 'Samsung SSD 1TB', 'ASUS B550', 'Cooler Master 850W']",,
162.0,"['AMD Ryzen 5', 'NVIDIA RTX 3060', 'G.Skill 16GB', 'WD HDD 2TB', 'ASUS B550', 'Corsair 650W']",,
163.0,"['AMD Ryzen 5', 'NVIDIA RTX 3060', 'Corsair 16GB', 'Samsung SSD 1TB', 'MSI X570', 'Cooler Master 850W']",,
164.0,"['Intel i5', 'NVIDIA RTX 3060', 'Corsair 16GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'EVGA 750W']",,
165.0,"['Intel i7', 'AMD RX 6700 XT', 'Corsair 16GB', 'Crucial SSD 500GB', 'ASUS B550', 'Corsair 650W']",,
166.0,"['AMD Ryzen 7', 'NVIDIA RTX 3060', 'Kingston 32GB', 'Samsung SSD 1TB', 'ASUS B550', 'Corsair 650W']",,
167.0,"['Intel i5', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Samsung SSD 1TB', 'ASUS B550', 'Corsair 650W']",,
168.0,"['AMD Ryzen 5', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Crucial SSD 500GB', 'MSI X570', 'Corsair 650W']",,
169.0,"['AMD Ryzen 5', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'Samsung SSD 1TB', 'ASUS B550', 'Corsair 650W']",,
170.0,"['AMD Ryzen 5', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'Cooler Master 850W']",,
171.0,"['Intel i5', 'NVIDIA RTX 3070', 'Kingston 32GB', 'WD HDD 2TB', 'Gigabyte B450', 'Corsair 650W']",,
172.0,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'Corsair 16GB', 'WD HDD 2TB', 'ASUS B550', 'Cooler Master 850W']",,
173.0,"['Intel i7', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'Cooler Master 850W']",,
174.0,"['Intel i5', 'NVIDIA RTX 3060', 'G.Skill 16GB', 'WD HDD 2TB', 'Gigabyte B450', 'EVGA 750W']",,
175.0,"['AMD Ryzen 7', 'AMD RX 6700 XT', 'Corsair 16GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'Corsair 650W']",,
176.0,"['Intel i5', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'Samsung SSD 1TB', 'MSI X570', 'EVGA 750W']",,
177.0,"['AMD Ryzen 7', 'NVIDIA RTX 3060', 'G.Skill 16GB', 'Samsung SSD 1TB', 'ASUS B550', 'Cooler Master 850W']",,
178.0,"['AMD Ryzen 5', 'NVIDIA RTX 3060', 'G.Skill 16GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'Cooler Master 850W']",,
179.0,"['AMD Ryzen 5', 'NVIDIA RTX 3060', 'Kingston 32GB', 'Samsung SSD 1TB', 'MSI X570', 'EVGA 750W']",,
180.0,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Samsung SSD 1TB', 'ASUS B550', 'Cooler Master 850W']",,
181.0,"['Intel i7', 'NVIDIA RTX 3070', 'Kingston 32GB', 'Crucial SSD 500GB', 'ASUS B550', 'Corsair 650W']",,
182.0,"['Intel i5', 'NVIDIA RTX 3060', 'Corsair 16GB', 'WD HDD 2TB', 'MSI X570', 'Cooler Master 850W']",,
