TransactionID,PurchasedParts
107,"['Intel i7', 'NVIDIA RTX 3070', 'Kingston 32GB', 'WD HDD 2TB', 'Gigabyte B450', 'Cooler Master 850W']"
108,"['AMD Ryzen 5', 'NVIDIA RTX 3060', 'Corsair 16GB', 'Samsung SSD 1TB', 'MSI X570', 'EVGA 750W']"
109,"['AMD Ryzen 7', 'NVIDIA RTX 3060', 'Corsair 16GB', 'WD HDD 2TB', 'ASUS B550', 'Cooler Master 850W']"
110,"['Intel i7', 'AMD RX 6700 XT', 'Corsair 16GB', 'WD HDD 2TB', 'Gigabyte B450', 'Cooler Master 850W']"
111,"['Intel i5', 'AMD RX 6700 XT', 'Corsair 16GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'Corsair 650W']"
112,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'Corsair 16GB', 'WD HDD 2TB', 'MSI X570', 'Corsair 650W']"
113,"['Intel i5', 'NVIDIA RTX 3070', 'Kingston 32GB', 'Samsung SSD 1TB', 'ASUS B550', 'EVGA 750W']"
114,"['AMD Ryzen 7', 'AMD RX 6700 XT', 'Kingston 32GB', 'Samsung SSD 1TB', 'ASUS B550', 'Corsair 650W']"
115,"['Intel i7', 'AMD RX 6700 XT', 'Kingston 32GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'EVGA 750W']"
116,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'Crucial SSD 500GB', 'MSI X570', 'EVGA 750W']"
117,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'Corsair 16GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'Cooler Master 850W']"
118,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'Kingston 32GB', 'Crucial SSD 500GB', 'ASUS B550', 'EVGA 750W']"
119,"['AMD Ryzen 7', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Samsung SSD 1TB', 'ASUS B550', 'Corsair 650W']"
120,"['Intel i7', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Samsung SSD 1TB', 'MSI X570', 'EVGA 750W']"
121,"['AMD Ryzen 5', 'NVIDIA RTX 3060', 'G.Skill 16GB', 'WD HDD 2TB', 'MSI X570', 'EVGA 750W']"
122,"['AMD Ryzen 7', 'NVIDIA RTX 3060', 'Kingston 32GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'EVGA 750W']"
123,"['AMD Ryzen 5', 'NVIDIA RTX 3070', 'Kingston 32GB', 'WD HDD 2TB', 'ASUS B550', 'Corsair 650W']"
124,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'WD HDD 2TB', 'Gigabyte B450', 'Cooler Master 850W']"
125,"['AMD Ryzen 7', 'NVIDIA RTX 3060', 'Corsair 16GB', 'Crucial SSD 500GB', 'ASUS B550', 'EVGA 750W']"
126,"['Intel i7', 'NVIDIA RTX 3060', 'Corsair 16GB', 'WD HDD 2TB', 'ASUS B550', 'Corsair 650W']"
127,"['Intel i5', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'Crucial SSD 500GB', 'ASUS B550', 'Cooler Master 850W']"
128,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'Corsair 16GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'Corsair 650W']"
129,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'Cooler Master 850W']"
130,"['Intel i7', 'NVIDIA RTX 3060', 'Kingston 32GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'EVGA 750W']"
131,"['AMD Ryzen 7', 'NVIDIA RTX 3060', 'Corsair 16GB', 'WD HDD 2TB', 'ASUS B550', 'Cooler Master 850W']"
132,"['Intel i5', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Samsung SSD 1TB', 'MSI X570', 'EVGA 750W']"
133,"['AMD Ryzen 5', 'NVIDIA RTX 3070', 'Kingston 32GB', 'WD HDD 2TB', 'Gigabyte B450', 'Corsair 650W']"
134,"['Intel i5', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'Samsung SSD 1TB', 'MSI X570', 'Corsair 650W']"
135,"['AMD Ryzen 5', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'Cooler Master 850W']"
136,"['Intel i5', 'NVIDIA RTX 3060', 'G.Skill 16GB', 'Samsung SSD 1TB', 'MSI X570', 'Corsair 650W']"
137,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'Corsair 16GB', 'WD HDD 2TB', 'ASUS B550', 'EVGA 750W']"
138,"['Intel i7', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Crucial SSD 500GB', 'MSI X570', 'Corsair 650W']"
139,"['Intel i5', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Samsung SSD 1TB', 'MSI X570', 'EVGA 750W']"
140,"['Intel i7', 'AMD RX 6700 XT', 'Corsair 16GB', 'WD HDD 2TB', 'Gigabyte B450', 'Corsair 650W']"
141,"['Intel i5', 'AMD RX 6700 XT', 'G.Skill 16GB', 'WD HDD 2TB', 'Gigabyte B450', 'EVGA 750W']"
142,"['Intel i5', 'AMD RX 6700 XT', 'Kingston 32GB', 'Crucial SSD 500GB', 'MSI X570', 'EVGA 750W']"
143,"['Intel i5', 'NVIDIA RTX 3070', 'Kingston 32GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'Cooler Master 850W']"
144,"['Intel i7', 'NVIDIA RTX 3060', 'Corsair 16GB', 'Samsung SSD 1TB', 'ASUS B550', 'Cooler Master 850W']"
145,"['Intel i7', 'NVIDIA RTX 3060', 'Corsair 16GB', 'Crucial SSD 500GB', 'MSI X570', 'EVGA 750W']"
146,"['Intel i5', 'AMD RX 6700 XT', 'Kingston 32GB', 'Crucial SSD 500GB', 'ASUS B550', 'Cooler Master 850W']"
147,"['AMD Ryzen 7', 'AMD RX 6700 XT', 'Kingston 32GB', 'Crucial SSD 500GB', 'ASUS B550', 'Cooler Master 850W']"
148,"['Intel i5', 'AMD RX 6700 XT', 'Corsair 16GB', 'Samsung SSD 1TB', 'MSI X570', 'EVGA 750W']"
149,"['AMD Ryzen 7', 'AMD RX 6700 XT', 'Kingston 32GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'EVGA 750W']"
150,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'Corsair 16GB', 'WD HDD 2TB', 'Gigabyte B450', 'Corsair 650W']"
151,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'Kingston 32GB', 'Samsung SSD 1TB', 'ASUS B550', 'EVGA 750W']"
152,"['AMD Ryzen 5', 'NVIDIA RTX 3060', 'Kingston 32GB', 'Crucial SSD 500GB', 'MSI X570', 'Corsair 650W']"
153,"['Intel i5', 'NVIDIA RTX 3070', 'Kingston 32GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'EVGA 750W']"
154,"['Intel i5', 'NVIDIA RTX 3070', 'Kingston 32GB', 'WD HDD 2TB', 'Gigabyte B450', 'Cooler Master 850W']"
155,"['Intel i7', 'AMD RX 6700 XT', 'Kingston 32GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'Cooler Master 850W']"
156,"['Intel i5', 'NVIDIA RTX 3060', 'G.Skill 16GB', 'Crucial SSD 500GB', 'ASUS B550', 'Corsair 650W']"
157,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'Kingston 32GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'Cooler Master 850W']"
158,"['Intel i7', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Samsung SSD 1TB', 'ASUS B550', 'EVGA 750W']"
159,"['Intel i7', 'AMD RX 6700 XT', 'Kingston 32GB', 'Crucial SSD 500GB', 'ASUS B550', 'EVGA 750W']"
160,"['Intel i5', 'NVIDIA RTX 3060', 'Corsair 16GB', 'WD HDD 2TB', 'MSI X570', 'EVGA 750W']"
161,"['AMD Ryzen 5', 'NVIDIA RTX 3060', 'Corsair 16GB', 'Crucial SSD 500GB', 'ASUS B550', 'Cooler Master 850W']"
162,"['AMD Ryzen 5', 'NVIDIA RTX 3060', 'Kingston 32GB', 'WD HDD 2TB', 'ASUS B550', 'Cooler Master 850W']"
163,"['AMD Ryzen 7', 'AMD RX 6700 XT', 'Kingston 32GB', 'WD HDD 2TB', 'ASUS B550', 'Cooler Master 850W']"
164,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'Corsair 16GB', 'WD HDD 2TB', 'MSI X570', 'Cooler Master 850W']"
165,"['Intel i7', 'AMD RX 6700 XT', 'Kingston 32GB', 'Samsung SSD 1TB', 'MSI X570', 'EVGA 750W']"
166,"['Intel i5', 'NVIDIA RTX 3070', 'Kingston 32GB', 'Crucial SSD 500GB', 'ASUS B550', 'EVGA 750W']"
167,"['Intel i7', 'NVIDIA RTX 3060', 'Kingston 32GB', 'WD HDD 2TB', 'ASUS B550', 'EVGA 750W']"
168,"['Intel i7', 'AMD RX 6700 XT', 'Kingston 32GB', 'Crucial SSD 500GB', 'ASUS B550', 'Cooler Master 850W']"
169,"['Intel i5', 'AMD RX 6700 XT', 'Corsair 16GB', 'Samsung SSD 1TB', 'ASUS B550', 'EVGA 750W']"
170,"['Intel i5', 'AMD RX 6700 XT', 'Kingston 32GB', 'Samsung SSD 1TB', 'ASUS B550', 'Corsair 650W']"
171,"['Intel i5', 'NVIDIA RTX 3070', 'Kingston 32GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'EVGA 750W']"
172,"['Intel i7', 'NVIDIA RTX 3060', 'Corsair 16GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'Cooler Master 850W']"
173,"['Intel i5', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'WD HDD 2TB', 'Gigabyte B450', 'Corsair 650W']"
174,"['AMD Ryzen 7', 'AMD RX 6700 XT', 'Corsair 16GB', 'Samsung SSD 1TB', 'MSI X570', 'EVGA 750W']"
175,"['AMD Ryzen 5', 'NVIDIA RTX 3070', 'Kingston 32GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'Cooler Master 850W']"
176,"['Intel i7', 'NVIDIA RTX 3060', 'Kingston 32GB', 'WD HDD 2TB', 'ASUS B550', 'Cooler Master 850W']"
177,"['AMD Ryzen 7', 'AMD RX 6700 XT', 'Kingston 32GB', 'Samsung SSD 1TB', 'MSI X570', 'EVGA 750W']"
178,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'Corsair 650W']"
179,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'Corsair 16GB', 'WD HDD 2TB', 'ASUS B550', 'Cooler Master 850W']"
180,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'G.Skill 16GB', 'WD HDD 2TB', 'ASUS B550', 'EVGA 750W']"
181,"['Intel i5', 'AMD RX 6700 XT', 'Kingston 32GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'Cooler Master 850W']"
182,"['Intel i5', 'AMD RX 6700 XT', 'G.Skill 16GB', 'WD HDD 2TB', 'Gigabyte B450', 'EVGA 750W']"
183,"['Intel i5', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'WD HDD 2TB', 'ASUS B550', 'EVGA 750W']"
184,"['Intel i5', 'NVIDIA RTX 3070', 'Kingston 32GB', 'Crucial SSD 500GB', 'ASUS B550', 'Cooler Master 850W']"
185,"['Intel i7', 'NVIDIA RTX 3060', 'G.Skill 16GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'EVGA 750W']"
186,"['Intel i7', 'NVIDIA RTX 3060', 'Corsair 16GB', 'Samsung SSD 1TB', 'MSI X570', 'Corsair 650W']"
187,"['Intel i7', 'AMD RX 6700 XT', 'Corsair 16GB', 'WD HDD 2TB', 'ASUS B550', 'Corsair 650W']"
188,"['Intel i5', 'NVIDIA RTX 3060', 'Kingston 32GB', 'Samsung SSD 1TB', 'MSI X570', 'EVGA 750W']"
189,"['Intel i7', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Samsung SSD 1TB', 'MSI X570', 'Cooler Master 850W']"
